Account,Opportunity,Offering,Capability,Vehicle,State,ID,Status,Confidence,Amount,Probability,Weighted Amount,Close Date,Stage
FFMA / Future Fund,FFMA AI Agentic Prototype,Copilot Studio Agent Prototyping,Generative & Agentic AI,Committed Capacity,~VIC,006RE00000TjECdYAN,Closed Won,0.95
VICSES,Azure AI Foundry - SPIFF,Foundry Landing Zone (+ agent library),Generative & Agentic AI,Standing Services,~VIC,006Mo00000i2QRhIAM,Closed Won,0.95
Leichhardt,AI Envisioning,AI Envisioning / Use-Case Discovery,Business Advisory - Information & Analytics,Committed Capacity,~NSW,006Mo00000jPL49IAG,Closed Won,0.70
eHealth NSW,M365 Copilot Change Manager,Copilot Scaled Rollout / Cowork Accelerate,Copilot,Committed Capacity,~NSW,006Mo00000kWHknIAG,Closed Won,0.90
Discovery Parks,Copilot T&M Consulting & Training Wave 1,Copilot Scaled Rollout / Cowork Accelerate,Copilot,Committed Capacity,~SA,006RE00000CzwppYAB,Closed Won,0.93
Perth Airport,Microsoft Foundry landing zone,Foundry Landing Zone,Generative & Agentic AI,Standing Services,~WA,006Mo00000ljUriIAE,Closed Won,0.95
NIB Health Funds,CSP 1000 x M365 Copilot,Copilot (licensing-led),Copilot,Standing Services,~NSW,006Mo00000ifbK1IAI,Closed Won,0.85
Genesis,Foundry Landing Zone,Foundry Landing Zone,Generative & Agentic AI,Standing Services,~VIC,006Mo00000iaBTRIA2,Closed Won,0.95
DTP,AI Foundry on Azure Promo,Foundry Landing Zone,Generative & Agentic AI,Standing Services,~VIC,006RE00000OOakVYAT,Closed Won,0.94
Yarra Valley Water,M365 CoPilot Data Security Review and Planning Workshop,AI Security & Risk Controls / Governance,Data Security (Security),Standing Services,~VIC,006Mo00000l97gjIAA,Closed Won,0.80
Office of Sport,M365 Copilot Deployment GOLD,Copilot Pilot Deployment,Copilot,Entitled Drawdown,~NSW,006RE000009f3JJYAY,Closed Won,0.85
Commit Co,AI Foundry Landing Zone,Foundry Landing Zone,Generative & Agentic AI,Standing Services,~,006Mo00000i6UQKIA2,Closed Won,0.95
Office of Sport,Purview/Copilot,Copilot Pilot Deployment + Purview Foundation,Copilot + Data Security (Security),Entitled Drawdown,~NSW,006Mo00000j2TaKIAU,Closed Won,0.80
Seek,KM & AI Agent Prototypes POC,Copilot Studio Agent Prototyping,Generative & Agentic AI,Committed Capacity,~NSW,,Closed Lost,0.92
Future Fund,AI Foundry on AI,Foundry Landing Zone,Generative & Agentic AI,Standing Services,~VIC,006Mo00000ihhQ9IAI,Closed Lost,0.93
Department of Finance,Purview (GovAI),Purview Foundation,Data Security (Security),Standing Services,~ACT,006RE00000SHK8fYAH,Closed Lost,0.70
CCC,AI System Assessment,AI Envisioning / Use-Case Discovery,Business Advisory - Information & Analytics,Committed Capacity,~,,Closed Lost,0.75
DJSIR,M365 Copilot Pilot Gold,Copilot Pilot Deployment,Copilot,Entitled Drawdown,~VIC,006RE00000VzVQ1YAN,Closed Lost,0.95
Crescent Capital,Copilot Studio,Copilot Studio Agent Prototyping,Generative & Agentic AI,Committed Capacity,~NSW,006RE00000KXCDOYA5,Closed Lost,0.90
Discovery Parks,Envisioning & POC Workshops,AI Envisioning / Use-Case Discovery,Business Advisory - Information & Analytics,Committed Capacity,~SA,006Mo00000kbWfxIAE,Closed Lost,0.70
ActewAGL,Copilot,Copilot Pilot Deployment,Copilot,Entitled Drawdown,~ACT,006RE00000JkLL4YAN,Closed Lost,0.88
